   1
  1     1.00000 0.001 0
   6
  1     2.63866 0.001 0
 10    -0.05800 0.001 0
  9     0.00000 0.001 0
 11     0.00000 0.001 0
  5    -0.94200 0.001 0
  2     0.18300 0.001 0
   6
  1    -0.16945 0.001 0
 10    -0.02000 0.001 0
  9     0.00000 0.001 0
 11     0.18307 0.001 0
  5     0.21000 0.001 0
  2     0.37300 0.001 0
  18
  25  26     0.03559 0.001 0
   9  11     0.00000 0.001 0
  10  20     0.10086 0.001 0
  10  21     0.16594 0.001 0
  13  12     0.00000 0.001 0
  29  27    -0.06114 0.001 0
   4   6     0.75129 0.001 0
  12   4    -0.41429 0.001 0
   2   4     0.43611 0.001 0
  22  24     0.06990 0.001 0
  12  14     0.07319 0.001 0
   6  10     0.17039 0.001 0
  27  28    -0.17898 0.001 0
  25  27    -0.04496 0.001 0
  14  15     0.01039 0.001 0
  20  19     0.07720 0.001 0
  19  18    -0.01818 0.001 0
  10  17     0.06330 0.001 0
  18
  25  26     0.02387 0.001 0
   9  11    -0.17610 0.001 0
  10  20     0.07384 0.001 0
  10  21     0.12774 0.001 0
  13  12     0.23995 0.001 0
  29  27    -0.01528 0.001 0
   4   6    -0.00177 0.001 0
  12   4     0.15030 0.001 0
   2   4     0.00924 0.001 0
  22  24     0.07410 0.001 0
  12  14     0.01310 0.001 0
   6  10     0.07059 0.001 0
  27  28    -0.03012 0.001 0
  25  27     0.00544 0.001 0
  14  15    -0.00455 0.001 0
  20  19     0.06315 0.001 0
  19  18     0.02837 0.001 0
  10  17     0.10838 0.001 0
   0


