"Time [ms]","Current(PhaseA) [A] - b='0.7'","Current(PhaseA) [A] - b='0.72'","Current(PhaseA) [A] - b='0.74'","Current(PhaseA) [A] - b='0.76'","Current(PhaseA) [A] - b='0.78'","Current(PhaseA) [A] - b='0.8'","Current(PhaseA) [A] - b='0.82'","Current(PhaseA) [A] - b='0.84'","Current(PhaseA) [A] - b='0.86'","Current(PhaseA) [A] - b='0.88'","Current(PhaseA) [A] - b='0.9'","Current(PhaseB) [A] - b='0.7'","Current(PhaseB) [A] - b='0.72'","Current(PhaseB) [A] - b='0.74'","Current(PhaseB) [A] - b='0.76'","Current(PhaseB) [A] - b='0.78'","Current(PhaseB) [A] - b='0.8'","Current(PhaseB) [A] - b='0.82'","Current(PhaseB) [A] - b='0.84'","Current(PhaseB) [A] - b='0.86'","Current(PhaseB) [A] - b='0.88'","Current(PhaseB) [A] - b='0.9'","Current(PhaseC) [A] - b='0.7'","Current(PhaseC) [A] - b='0.72'","Current(PhaseC) [A] - b='0.74'","Current(PhaseC) [A] - b='0.76'","Current(PhaseC) [A] - b='0.78'","Current(PhaseC) [A] - b='0.8'","Current(PhaseC) [A] - b='0.82'","Current(PhaseC) [A] - b='0.84'","Current(PhaseC) [A] - b='0.86'","Current(PhaseC) [A] - b='0.88'","Current(PhaseC) [A] - b='0.9'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.172892238484798,0.175359310529393,0.176592287076209,0.177872707627724,0.181211671004654,0.180236237940289,0.184542644125502,0.186272109111852,0.186899887914801,0.189577140451391,0.190496226069233,-0.162207725856464,-0.15497342087907,-0.148701094741271,-0.143987753053422,-0.139871686568986,-0.133995157463392,-0.132118847814764,-0.130416561081132,-0.127631971796602,-0.124608931235628,-0.124577087632331,-0.0106845126283348,-0.020385889650323,-0.0278911923349376,-0.0338849545743014,-0.0413399844356686,-0.0462410804768965,-0.0524237963107373,-0.0558555480307204,-0.0592679161181995,-0.0649682092157629,-0.0659191384369022
0.02,0.3469960744915,0.350432024137603,0.354756824066715,0.357452931732512,0.363412703202418,0.362658461514818,0.370554781135195,0.374092879521484,0.37598715211279,0.379814844018373,0.382009118603153,-0.323257536754835,-0.308180088478787,-0.296346259006477,-0.286209613539826,-0.278661522550836,-0.267849842989545,-0.263194791118343,-0.259924279241049,-0.254825993649467,-0.248088191692983,-0.247990627694282,-0.0237385377366648,-0.0422519356588165,-0.0584105650602382,-0.0712433181926863,-0.0847511806515824,-0.0948086185252732,-0.107359990016852,-0.114168600280435,-0.121161158463323,-0.13172665232539,-0.134018490908872
0.03,0.522184876162569,0.527126846799815,0.534129449741389,0.538571667534354,0.546445058418024,0.547201606857677,0.557708300437124,0.56356840984463,0.566936135739423,0.571083654689872,0.57466895491536,-0.483637460147401,-0.46096660479404,-0.443405593102407,-0.42799518966095,-0.416137515041658,-0.402013494246621,-0.394242490585435,-0.38865880683241,-0.38114108474306,-0.370946308462322,-0.370703083357679,-0.0385474160151678,-0.0661602420057757,-0.0907238566389814,-0.110576477873404,-0.130307543376366,-0.145188112611056,-0.163465809851689,-0.174909603012221,-0.185795050996363,-0.200137346227551,-0.203965871557681
0.04,0.697715170683885,0.704244610804667,0.713252722065746,0.720473706899137,0.73032174477125,0.732975109562072,0.745661942705763,0.753809443915034,0.758631466942693,0.763000990624826,0.76780317578868,-0.643537058764637,-0.613449041369126,-0.589928214896641,-0.569628318737408,-0.553810972948646,-0.53643822359446,-0.524934190226444,-0.516971849507056,-0.506970491104354,-0.493418818038771,-0.492923680691505,-0.054178111919248,-0.0907955694355407,-0.123324507169105,-0.150845388161729,-0.176510771822605,-0.196536885967612,-0.220727752479319,-0.236837594407978,-0.25166097583834,-0.269582172586055,-0.274879495097174
0.05,0.871890269849977,0.880867337292671,0.892069788306619,0.90224215678003,0.91410268951601,0.918157631660633,0.93336055356118,0.943754168919579,0.949942780037975,0.95469309251767,0.960480930557339,-0.80251854267002,-0.765632039917741,-0.73626927043083,-0.711141556842212,-0.69123589597201,-0.669353134999873,-0.655263324392205,-0.644881556169944,-0.632272284139495,-0.615463515015404,-0.614529314835645,-0.0693717271799575,-0.115235297374929,-0.155800517875789,-0.191100599937818,-0.222866793544,-0.24880449666076,-0.278097229168975,-0.298872612749635,-0.31767049589848,-0.339229577502267,-0.345951615721695
0.06,1.04526765961551,1.05674333248355,1.07014736183405,1.08354178149512,1.09745018127579,1.10354596080974,1.12019786957245,1.13328362902371,1.14087403623142,1.1458998915558,1.15290430688731,-0.959474780388828,-0.915838791661944,-0.880687580873119,-0.850827237033265,-0.826803182020114,-0.801097840577528,-0.782617573090748,-0.770958421364277,-0.755778064379772,-0.735604661045599,-0.734305405114769,-0.0857928792266781,-0.140904540821606,-0.189459780960928,-0.23271454446185,-0.270646999255678,-0.302448120232209,-0.337580296481703,-0.36232520765943,-0.385095971851645,-0.410295230510204,-0.418598901772544
0.07,1.21728287306509,1.23147564581307,1.24711503497853,1.26219308729691,1.27983464040364,1.28805136805832,1.30619890969344,1.32186467926396,1.33082128405089,1.3359811986505,1.34430791396288,-1.11416000030982,-1.06415201447243,-1.02327936044823,-0.988119490995379,-0.960347065949578,-0.930695781446521,-0.908248589916089,-0.895182485964768,-0.877386917179106,-0.853818359928566,-0.8520563743673,-0.103122872755274,-0.167323631340644,-0.223835674530298,-0.274073596301527,-0.31948757445406,-0.357355586611801,-0.397950319777349,-0.426682193299194,-0.45343436687178,-0.482162838721936,-0.492251539595584
0.08,1.38718320934631,1.40274736742969,1.42230440259317,1.43952133436016,1.45861155662946,1.47010064417357,1.49025069577426,1.507690259214,1.51812733428218,1.5239000924598,1.53332858341603,-1.26735000116998,-1.21094838331233,-1.1650131984665,-1.12475959011098,-1.09182296042491,-1.0585567027444,-1.0326144424196,-1.01666728840514,-0.99671997449182,-0.971134945683295,-0.968310853509149,-0.11983320817633,-0.191798984117369,-0.257291204126671,-0.31476174424918,-0.366788596204557,-0.411543941429168,-0.457636253354662,-0.491022970808863,-0.521407359790364,-0.552765146776501,-0.565017729906879
0.09,1.55570113202563,1.57322849956382,1.59465732105763,1.61577088051156,1.6359402446061,1.64872749141855,1.67260089561605,1.69190528695192,1.70339960159845,1.71073052931124,1.71981075706568,-1.41906072537787,-1.3565733467425,-1.30476550065252,-1.26103946441096,-1.22170243976361,-1.18405405591574,-1.15538094196824,-1.13714903798061,-1.11457718823783,-1.08727699483414,-1.08211102976235,-0.136640406647757,-0.216655152821317,-0.28989182040511,-0.354731416100601,-0.414237804842492,-0.464673435502816,-0.517219953647818,-0.554756248971311,-0.588822413360617,-0.623453534477104,-0.637699727303324
