"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.5'","InducedVoltage(PhaseA) [V] - b='0.52'","InducedVoltage(PhaseA) [V] - b='0.54'","InducedVoltage(PhaseA) [V] - b='0.56'","InducedVoltage(PhaseA) [V] - b='0.58'","InducedVoltage(PhaseA) [V] - b='0.6'","InducedVoltage(PhaseA) [V] - b='0.62'","InducedVoltage(PhaseA) [V] - b='0.64'","InducedVoltage(PhaseA) [V] - b='0.66'","InducedVoltage(PhaseA) [V] - b='0.68'","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseA) [V] - b='0.92'","InducedVoltage(PhaseA) [V] - b='0.94'","InducedVoltage(PhaseA) [V] - b='0.96'","InducedVoltage(PhaseA) [V] - b='0.98'","InducedVoltage(PhaseA) [V] - b='1'","InducedVoltage(PhaseB) [V] - b='0.5'","InducedVoltage(PhaseB) [V] - b='0.52'","InducedVoltage(PhaseB) [V] - b='0.54'","InducedVoltage(PhaseB) [V] - b='0.56'","InducedVoltage(PhaseB) [V] - b='0.58'","InducedVoltage(PhaseB) [V] - b='0.6'","InducedVoltage(PhaseB) [V] - b='0.62'","InducedVoltage(PhaseB) [V] - b='0.64'","InducedVoltage(PhaseB) [V] - b='0.66'","InducedVoltage(PhaseB) [V] - b='0.68'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.92'","InducedVoltage(PhaseB) [V] - b='0.94'","InducedVoltage(PhaseB) [V] - b='0.96'","InducedVoltage(PhaseB) [V] - b='0.98'","InducedVoltage(PhaseB) [V] - b='1'","InducedVoltage(PhaseC) [V] - b='0.5'","InducedVoltage(PhaseC) [V] - b='0.52'","InducedVoltage(PhaseC) [V] - b='0.54'","InducedVoltage(PhaseC) [V] - b='0.56'","InducedVoltage(PhaseC) [V] - b='0.58'","InducedVoltage(PhaseC) [V] - b='0.6'","InducedVoltage(PhaseC) [V] - b='0.62'","InducedVoltage(PhaseC) [V] - b='0.64'","InducedVoltage(PhaseC) [V] - b='0.66'","InducedVoltage(PhaseC) [V] - b='0.68'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.92'","InducedVoltage(PhaseC) [V] - b='0.94'","InducedVoltage(PhaseC) [V] - b='0.96'","InducedVoltage(PhaseC) [V] - b='0.98'","InducedVoltage(PhaseC) [V] - b='1'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,4.32185442795829,4.38730698134215,4.83986553386884,5.69646536037971,6.33021266017553,6.5093384109427,6.67753447403441,7.09526643647873,7.08072058117126,6.83590048005556,6.62270930251063,6.44674253641675,6.31047087987446,6.19429656603776,6.14962467040514,6.20699472183905,6.08344083049384,6.10318944028354,6.12031378473044,6.07660856116132,6.15765246961775,6.23170885081958,6.2728482948754,6.33684582092287,6.34063126061457,6.43636264860581,-150.842594523318,-153.987737758073,-157.154914784684,-160.836660417127,-165.719441245346,-169.364528469301,-173.129875217842,-176.887367603815,-180.311973387299,-183.443214554632,-186.485172981501,-189.041800162889,-191.265725541558,-194.044668297378,-195.956575220537,-197.995947295092,-199.184816894523,-200.495625587071,-201.752392900315,-202.774620644164,-203.670626674102,-204.439378706681,-204.852330177724,-205.141557016974,-205.323567898107,-205.19598796079,144.187128597978,147.350267206885,150.764893837544,154.116159046563,158.562015371995,161.952858628467,165.63640627252,168.931405372015,172.248407692339,175.490143428792,178.632071667764,181.587069950229,184.359677584409,187.623269849912,189.907798800109,191.752442238081,193.675558322025,195.064706151385,196.201208946398,197.151508437859,197.614962057814,198.03837818217,198.288594891396,198.488312509948,198.542451506073,198.459115699026
0.2,14.772205233774,16.1035429076128,17.3383189998749,18.3789381721489,18.9193325557252,20.256633853945,21.1100568273359,21.293429915531,21.6017300479709,21.00011387828,21.4484768208517,21.1617869697384,20.7566360086037,20.7922821030188,20.529573738971,20.1289841213076,19.9997581272909,19.9261684924207,19.857931659874,19.759174466546,19.7688988122319,19.8593672472425,19.9127667622018,19.9094593823834,20.0049974091854,20.1284684342334,-155.697172851215,-160.30454355861,-164.584873914153,-168.193993601137,-172.412857007396,-176.133144936312,-179.993489730218,-183.542611630106,-186.925251623496,-190.028077835831,-192.495206840194,-194.838669621327,-197.047308524555,-199.65507828465,-201.34999524231,-203.081761581667,-204.828976434633,-206.437734576279,-207.797398487616,-209.036848668576,-210.049871511728,-210.933089522047,-211.603636417263,-211.980540841281,-212.262585885169,-212.061644552905,136.914418611628,140.750218520575,144.236691528705,147.500918264158,151.75540261693,154.862196824337,158.170140907951,161.520235358326,164.724689335041,168.018280392101,171.000696887819,173.960149482654,176.737200287222,179.794354196351,182.001611109806,184.050278245418,185.815471282022,187.20558930179,188.3403527631,189.1850977406,189.658727593487,190.044993099997,190.364983114158,190.515930842222,190.644746918092,190.592469865704
0.3,24.9233234851409,26.3247499008662,27.8229926566342,29.3509232017358,30.6280137595011,31.6748238572329,32.5570234750178,33.3495828852298,34.0513021301819,35.0745496038762,34.5945090252048,34.5454212133861,34.3721203091674,34.6095908654032,34.4349711795749,34.1285279217463,33.7817238932175,33.5242876032554,33.2620818219953,33.0814240319749,32.928230723151,32.8658973247453,32.8269072715454,32.8624472213385,32.88216822106,33.1513836959624,-160.140951625016,-165.204862960703,-170.117726604367,-174.803414840587,-180.134755794808,-183.713233266291,-186.91395913222,-189.629629809044,-192.62235008992,-195.887795895174,-197.710592611376,-199.863929519542,-201.859681513672,-204.936841762455,-206.832699255697,-208.871967020412,-210.094888371047,-212.097933844277,-213.048070869674,-214.245826942949,-215.372591665319,-216.361989778879,-216.888061138814,-217.647732359654,-217.585333445401,-217.320850787045,130.474800997273,134.117547608689,137.441936559448,140.677492715235,144.828551693187,148.043870933551,151.164599017101,154.208055504343,157.221433732413,160.034495317732,162.944111118939,165.578022802122,168.043644608201,170.754174587741,172.714064357923,174.637337336339,176.169840830657,177.514277847263,178.64467067707,179.563439394619,180.132328851464,180.605027715737,181.039092071387,181.257677837459,181.456994320337,181.492520848393
0.4,36.5402898878953,38.192353581048,39.7859879418605,41.3164218000234,42.8125093064602,44.2682073126266,45.6023130815081,46.7008885230224,47.4674967425492,48.1005247344113,48.4969022715681,48.8011702416535,48.9735550319648,49.3283512870302,49.286759816331,48.9260618283138,48.571983929272,48.3531963524869,48.0988821016198,47.7768902100623,47.5824561448518,47.5347843622831,47.4793251660249,47.3200014842845,47.4679102502767,47.6979023713719,-163.365792012883,-168.822235301848,-173.934585568706,-178.745850830436,-184.171394430013,-188.53241285969,-192.209326925746,-194.674980054438,-196.817784578804,-198.726095015141,-201.162952573844,-203.523174245793,-205.709075426808,-208.717570760245,-210.633270050354,-212.501594343011,-214.143226951414,-215.44456356473,-217.158222624905,-218.480827900996,-219.252724946803,-220.199910614739,-220.977274148702,-221.5911629075,-221.706606100899,-221.356690053902,123.50097590113,126.827741003005,130.306095873279,133.538363163853,137.59244194867,140.828503485913,143.868773702879,146.798126280977,149.478954874244,151.994080921743,154.383181195187,156.596721992094,158.614933081275,160.888431573602,162.570136491823,163.938508292836,165.484170701096,166.7248823234,167.890486662035,168.894864810826,169.621928937532,170.25660017659,170.79056216856,171.192902829707,171.449235159045,171.607654956613
0.5,47.7472277218605,49.180284234368,50.6296581689897,51.9965686626833,53.8869239765716,55.2442578038131,56.597374248894,57.8740025755242,59.0722418150491,60.2393064787532,61.148029585314,61.6741972356266,61.9083956455102,62.1414391494451,62.3140650106452,61.3995945521428,61.1391281168699,60.9928786298308,60.6770139196416,60.366424468114,60.1481941535015,60.0806140028004,59.9323075269159,61.2882096945438,59.9187326090656,61.7197328174213,-167.691128467256,-173.390811769245,-178.531142366362,-183.13683903049,-188.057464978022,-192.152782247612,-195.392846127931,-198.608610397663,-201.751196471711,-204.671881555649,-206.599980742218,-208.237348632339,-209.900806394071,-213.115206195027,-215.122397239945,-216.553088600684,-218.598634791202,-220.261212725173,-221.874244460453,-223.208509674905,-223.935776726347,-225.043934244682,-225.457536433308,-226.449115220248,-226.01362845356,-225.831499637969,116.523483532043,119.999817400203,123.444730308808,126.719333649175,130.501013467685,133.543038556786,136.361973129683,139.005161861613,141.495170346467,143.605465278803,145.421397904841,146.999147862364,148.486383315362,150.411137468222,151.674932308618,153.780182111801,154.95300172485,156.186131022399,157.31989463553,158.364037577275,159.215040374486,159.969689705797,160.686165298097,159.886666332028,161.509230077653,160.44226803676
0.6,58.7797353823855,60.2944593611571,61.6823778807157,62.9946466836412,64.9509191798475,66.3496831857985,67.7453686920204,69.0692732976034,70.2682485175776,71.2412361176035,72.2001174339471,73.089001829873,73.8661176459188,74.3986804750973,74.721237709679,75.6896053624539,75.9707386142516,76.2479449616621,76.4669349589769,76.4834185067037,76.4771411658976,76.540320156136,76.6788014179431,75.1328672388024,76.82604183813,75.7218786126701,-169.166059043814,-174.095881806007,-178.992458814628,-183.444694289458,-188.706257127671,-192.89480201614,-196.727920532093,-200.098462146332,-203.19674844226,-206.1525280882,-208.721205866974,-211.134554167153,-213.367713812828,-215.986583721672,-217.663432250945,-219.402207741313,-221.519588487957,-223.020562023729,-224.707930904285,-225.933495495529,-226.678726915538,-227.012679477223,-227.895360589906,-227.605583084024,-228.271570018164,-227.637600842984,108.856411158184,112.350654236211,115.843170432276,118.945367821444,122.137745709646,124.94677019439,127.458055822788,129.726387571894,131.719537211756,133.376613329289,134.801688021228,136.030837165378,137.032526325482,138.729517640325,139.729588961111,139.814523557064,140.788855115003,141.697173167801,142.634204752743,143.501565726682,144.269956563731,144.974663495582,145.607437181928,147.354091141263,146.451212418868,147.971742849116
0.7,69.917760879423,71.6622840279479,73.1814598300623,74.6059700489748,77.1143766344851,78.3915299428484,79.5001726667344,80.5175900946453,81.6304339379309,82.6300613882208,83.6528843031109,84.7063674581705,85.7399377641199,86.7894196135327,87.6409487710938,88.285426062038,88.8050887586078,89.1158588202656,89.2314560623703,89.1496653585944,89.0521281530271,89.055752341391,89.073290600728,88.9332319869174,89.1200274646292,89.4213438276775,-172.090558025106,-176.622594275672,-180.98413356267,-185.325710201744,-190.627091665286,-195.031501636283,-198.756372849706,-202.127612336101,-205.66649451758,-208.503486873358,-211.815034249998,-214.432993974578,-216.954031467392,-220.517221268776,-222.575083429796,-224.181038624292,-225.463221766021,-226.410985625619,-227.58087184245,-228.610740308688,-229.22617656136,-229.480712566831,-230.044879073841,-230.076586724586,-230.171720551367,-229.770203689428,101.710627631331,104.822615444796,108.084251455188,111.098358588708,113.961394357105,116.404074981447,118.472519480223,120.249546523971,121.903086913986,123.200466115101,124.307621457483,125.269093858305,126.096223752418,127.711402542595,128.798301888592,129.519259165766,130.424043221045,131.297408444219,132.240980825441,133.125491207514,133.870511864017,134.539144007021,135.105822424886,135.585942032223,135.876276821469,136.188414012138
0.8,78.8452881024088,81.4189728804585,83.6720119437917,85.5203481478456,87.5478365124577,88.7847174087741,89.9611208401307,91.0815052443709,92.2409221688236,93.337881293804,94.5762976073894,95.6393533831351,96.6622758798191,97.8232228269382,98.6483171671104,99.2815664121832,100.046165642561,100.522700313864,100.99519089813,101.213066313834,101.323247562856,101.544730125837,101.682237727893,101.695405295888,101.908779080764,101.57715877505,-172.487981473747,-177.068789398525,-181.381487714718,-185.533011887517,-190.395864633253,-193.789803645167,-197.642438007588,-201.941709677993,-205.732770989479,-209.14056460046,-212.749276566599,-215.901593898947,-218.696196004955,-221.839876750165,-223.744058933592,-225.272366013475,-227.166144191446,-227.875095269056,-229.044912458861,-229.338623761865,-229.46925109695,-229.763392067043,-230.046066981991,-230.299093952189,-230.338399944793,-229.870375132398,94.2992530139897,97.0570101750795,99.4614213163522,101.96568109174,104.511569174514,106.462085858339,108.201402454871,109.726518636832,111.146253314442,112.212187088397,113.197130083998,114.120137445922,114.890166831643,116.409621117834,117.338438760208,118.201052317613,119.031352666258,119.844431397251,120.558965675944,121.156336952789,121.62343248939,122.147932554447,122.461162153767,122.80876410604,122.976615758422,124.099749641627
0.9,88.4975764301657,91.140133913887,93.521515990416,95.6829885136157,98.1521434100097,99.901228376284,101.463978322993,102.962912775678,104.271531400074,105.370798538191,106.244384394106,107.108846835745,107.952227833714,109.135139536765,109.996999825562,110.747197769295,111.549777591822,112.264071038354,112.901004399554,113.435261586747,113.835124980386,114.278187677661,114.61196273658,114.744324305067,115.04329754869,115.928947476565,-173.878408483572,-177.26780917751,-180.965141908413,-184.987159988033,-190.25494962644,-194.281269936892,-198.298323339398,-202.224090247565,-206.056827943761,-209.596565408798,-213.040225869278,-216.124504230727,-218.937195719758,-221.890094388154,-223.88208466157,-225.902438746114,-227.382242479755,-228.514133231594,-229.331915480084,-230.174781739863,-230.704811490043,-231.073138885728,-231.375098992772,-231.267537335929,-231.330530285719,-230.868608308343,85.2945713669037,87.6961743688009,89.876395453132,91.6611109738291,94.0223847276045,95.4728497669655,96.7638076805483,98.034192180389,99.3603768274781,100.562002277139,101.73017180768,102.833216489348,103.65189748238,104.861489066172,105.98037392462,106.588279731792,107.373876759734,107.99001094558,108.57031593868,109.028694825564,109.298494400177,109.617761896467,109.72657250605,109.963484345576,110.027187718467,109.696154485151
