"Time [ms]","Moving1.Torque [NewtonMeter] - b='0.7'","Moving1.Torque [NewtonMeter] - b='0.72'","Moving1.Torque [NewtonMeter] - b='0.74'","Moving1.Torque [NewtonMeter] - b='0.76'","Moving1.Torque [NewtonMeter] - b='0.78'","Moving1.Torque [NewtonMeter] - b='0.8'","Moving1.Torque [NewtonMeter] - b='0.82'","Moving1.Torque [NewtonMeter] - b='0.84'","Moving1.Torque [NewtonMeter] - b='0.86'","Moving1.Torque [NewtonMeter] - b='0.88'","Moving1.Torque [NewtonMeter] - b='0.9'"
0,-0.0686613229350198,0.0334830194079433,0.102018418681377,0.0573462353018414,-0.144783845090289,-0.249947229068873,-0.258643550455732,-0.244536143414926,-0.252726753596709,-0.130556128778443,-0.207040423140955
0.01,0.332612246468029,0.375098388330117,0.385065735019535,0.303761786030153,0.0494502163220666,-0.1087018804933,-0.174082711077434,-0.192753903016474,-0.231141908396493,-0.130622040602843,-0.230098388407819
0.02,0.741318757901548,0.741510906014181,0.688852329177639,0.552149511306703,0.255992266831831,0.0480106775590518,-0.0710892083785221,-0.120631158106677,-0.188893075394372,-0.117808617069297,-0.235961982057927
0.03,1.15581777857504,1.1204867033517,1.01539840459071,0.810807792968419,0.478091841764652,0.224212419013705,0.056267883337409,-0.0266225307270823,-0.125065325336275,-0.089828803722278,-0.217038847399311
0.04,1.5698007565445,1.50370033162279,1.35981377729461,1.08463107316748,0.719576515595334,0.421674716225553,0.208717033966619,0.0905771471988379,-0.0378832762849562,-0.0346020028758717,-0.165775477325088
0.05,1.98053261424304,1.87706086172814,1.7022602343751,1.37275014445627,0.977728839591878,0.636457100543322,0.384432647557998,0.230013754711072,0.0718124694747545,0.0651458137019525,-0.0775276792520949
0.06,2.37938999231891,2.22994311787515,2.02774415414476,1.66434769848904,1.24550255336717,0.86686651213746,0.571689475297866,0.381880263947092,0.194472916622925,0.218008318084322,0.0407125602018278
0.07,2.77544282998654,2.57568052968104,2.34780383109214,1.96271392860186,1.51614036589676,1.10679562878556,0.765375761296874,0.538764575159693,0.322891167177992,0.404174465149837,0.178062649175654
0.08,3.18831115028006,2.9491993983124,2.67956440695189,2.26237984087454,1.79688303577777,1.34768611563337,0.961524550640641,0.696945779591033,0.454290315925575,0.580603839899706,0.31337831327317
0.09,3.6298275964622,3.34734621449185,3.0370521226464,2.5658857875086,2.07664603322836,1.59553297745577,1.1583489085707,0.859599456570554,0.590257067812184,0.709444365060317,0.426264982750559
0.1,4.10243001234663,3.77515093466417,3.41137051481844,2.8861771469958,2.36122391147077,1.8459245263572,1.36104973266194,1.03167090019564,0.734239614972573,0.793302899189441,0.512847771401063
0.11,4.599265819547,4.22584590973358,3.80381451952068,3.23667344615402,2.66590957620496,2.10933823047298,1.59755659922731,1.23190980925335,0.896576917825832,0.858410273263255,0.592790394743282
