"Time [ms]","InducedVoltage(PhaseA) [V] - b='0.7'","InducedVoltage(PhaseA) [V] - b='0.72'","InducedVoltage(PhaseA) [V] - b='0.74'","InducedVoltage(PhaseA) [V] - b='0.76'","InducedVoltage(PhaseA) [V] - b='0.78'","InducedVoltage(PhaseA) [V] - b='0.8'","InducedVoltage(PhaseA) [V] - b='0.82'","InducedVoltage(PhaseA) [V] - b='0.84'","InducedVoltage(PhaseA) [V] - b='0.86'","InducedVoltage(PhaseA) [V] - b='0.88'","InducedVoltage(PhaseA) [V] - b='0.9'","InducedVoltage(PhaseB) [V] - b='0.7'","InducedVoltage(PhaseB) [V] - b='0.72'","InducedVoltage(PhaseB) [V] - b='0.74'","InducedVoltage(PhaseB) [V] - b='0.76'","InducedVoltage(PhaseB) [V] - b='0.78'","InducedVoltage(PhaseB) [V] - b='0.8'","InducedVoltage(PhaseB) [V] - b='0.82'","InducedVoltage(PhaseB) [V] - b='0.84'","InducedVoltage(PhaseB) [V] - b='0.86'","InducedVoltage(PhaseB) [V] - b='0.88'","InducedVoltage(PhaseB) [V] - b='0.9'","InducedVoltage(PhaseC) [V] - b='0.7'","InducedVoltage(PhaseC) [V] - b='0.72'","InducedVoltage(PhaseC) [V] - b='0.74'","InducedVoltage(PhaseC) [V] - b='0.76'","InducedVoltage(PhaseC) [V] - b='0.78'","InducedVoltage(PhaseC) [V] - b='0.8'","InducedVoltage(PhaseC) [V] - b='0.82'","InducedVoltage(PhaseC) [V] - b='0.84'","InducedVoltage(PhaseC) [V] - b='0.86'","InducedVoltage(PhaseC) [V] - b='0.88'","InducedVoltage(PhaseC) [V] - b='0.9'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,52.3197755672222,51.858196351573,51.7719637167679,51.8598336477383,51.8011047236755,51.1766808165892,51.4450000032363,51.3696893346571,51.374471543264,51.3318549770603,51.4111114392202,-232.194867820634,-232.663027900992,-232.75621704042,-232.673086040794,-232.732887706777,-233.366770315954,-233.095096534119,-233.170369684829,-233.168564817202,-233.211658722013,-233.131177478163,173.955667817155,173.510886378836,173.436716388004,173.534627870042,173.490799373599,172.871794596946,173.154593355737,173.086407421674,173.096766798528,173.065714906273,173.147552806105
0.02,53.98134159732,53.6915362291501,53.356017590761,53.2961782691854,53.2864220377183,52.7980011442553,53.0055607039448,52.9280362266626,52.7971745185596,52.6430443589132,52.7053877451611,-232.357569153568,-232.658065531535,-232.99826351004,-233.064500317104,-233.075572240432,-233.572227405426,-233.362935600753,-233.440121359652,-233.572972260915,-233.730729456916,-233.666492857693,173.158173018453,172.884936463877,172.567833634948,172.521222739505,172.526160408273,172.046152272931,172.270102656702,172.201037241948,172.077884342092,171.934169846155,172.000595904254
0.03,55.5857137764237,55.2430503461432,54.9530470307757,54.8431511831871,54.6598369716766,54.3868590554053,54.4172193926773,54.464598582532,54.3320949144777,54.0072041786521,54.0425578852588,-232.565626154521,-232.919626926195,-233.21573227075,-233.332373104761,-233.519395109233,-233.797774993377,-233.767295655049,-233.719836821625,-233.854453889712,-234.184408715096,-234.146807412555,172.298670764198,171.976179535888,171.706637893551,171.612756774159,171.445581497465,171.183691910454,171.230714111181,171.290305022331,171.167449063014,170.851841080014,170.892366975636
0.04,57.1878267165315,56.8875957264625,56.6913214652243,56.4319361672394,56.2629898768541,56.038743175274,55.9833360901207,56.0106729000254,55.8629249076847,55.5211800080391,55.5162789877384,-232.765201739349,-233.077948587637,-233.282342629501,-233.547406039908,-233.720096718024,-233.949578746873,-234.006440003959,-233.979159510359,-234.129374393183,-234.476970946457,-234.479697556123,171.430717111604,171.153312862965,170.978758561099,170.739917923804,170.588846805914,170.378262772616,170.341282721939,170.382579542167,170.245867511629,169.914029640855,169.914704593904
0.05,58.9039224608179,58.5923634117191,58.3936640613514,58.1039358313384,57.9472604564146,57.6314029417102,57.6312670808154,57.644546555663,57.4855314626088,57.1856657380743,57.1712511545419,-232.84230088633,-233.165803653965,-233.37319603203,-233.66881093026,-233.829856330692,-234.153714672591,-234.153648624746,-234.140561730764,-234.30259577967,-234.608746306533,-234.621320821554,170.668465342916,170.383923379838,170.209815632552,169.943656534327,169.807131761779,169.507085680276,169.52676047077,169.555694799031,169.409004112775,169.120304000353,169.111762228394
0.06,60.1781572887816,59.8572579795953,59.657918668915,59.3257852891604,59.1629223483936,58.9668042301816,58.7200010809863,58.8451713816718,58.6852681883132,58.3658529400732,58.3650192004514,-233.351043515947,-233.684845108295,-233.893712929525,-234.231700868803,-234.39944971175,-234.602520684019,-234.853103802021,-234.72597752755,-234.88911309463,-235.215831816127,-235.214266787584,169.462573940407,169.171712075913,168.999488992785,168.694245128326,168.553716823311,168.37606928784,168.150541909168,168.292763968927,168.146577699799,167.839198796954,167.845380762102
0.07,61.5292249058097,61.2458134752969,61.0379944550987,60.8956094673541,60.4698460492048,60.3258214517011,60.0709265850985,60.1579018649323,59.9883607572016,59.6347532262842,59.6814743011209,-233.773160636164,-234.06972301159,-234.287835444666,-234.439361966982,-234.867695910224,-235.01918213342,-235.277949275836,-235.188995105576,-235.362173346912,-235.724100356111,-235.674754787279,168.328109856936,168.077778609416,167.899645256384,167.783501917657,167.386285467611,167.263115087557,167.030877069038,167.136452369343,166.981945434674,166.641012667657,166.695881419471
0.08,63.2676745062843,63.3082047012012,62.9067663863614,62.7399432654829,62.5541772804938,62.2285724898863,61.9892717933668,61.8710120731225,61.7609207021363,61.5178891593182,61.6399924612931,-233.797083803089,-233.772513262165,-234.181891734739,-234.357855213899,-234.551303616115,-234.882783664161,-235.125228414987,-235.2443614207,-235.357607190315,-235.607216012193,-235.483403394829,167.57356978202,167.646470275717,167.281021423268,167.143597106853,166.984851900998,166.684886986032,166.470744916197,166.372549374225,166.278515677093,166.048500857385,166.179753560583
0.09,64.9506991433846,64.9599542734858,64.8267841956374,64.7248076680984,64.34672596769,64.2613856254748,63.841065476905,63.7707602063497,63.5519876697466,63.5243799598895,63.3377047293215,-233.864540270484,-233.871268613611,-234.016609916976,-234.123806958256,-234.51272412037,-234.607810337245,-235.028220254391,-235.098729058555,-235.322062080939,-235.35487993783,-235.543604178987,166.760821261472,166.80595835685,166.707498443175,166.639897488002,166.291554638251,166.230023277394,165.840448134175,165.791255475203,165.589313369596,165.577733517375,165.398794016838
