"Time [ms]","Moving1.Torque [NewtonMeter] - a='0mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='5mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='10mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='15mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='20mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='25mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='30mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='35mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='40mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='45mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='50mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='55mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='60mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='65mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='70mm' b='0.79'","Moving1.Torque [NewtonMeter] - a='60mm' b='0.7'"
0,0.0197018298750689,-0.47710166508362,-0.303725206831894,-0.303570652066999,-0.202572311222275,-0.0347006105053923,-0.0475979282288857,-0.0486551121546792,0.112381474800996,0.109385136962712,-0.0473215816252728,-0.0582495332950243,-0.126457495655946,0.128586396485644,-0.0165417157525478,-0.0597287121966398
0.01,-0.475011779647808,,,,,,,,,,,,,,,-0.0995372875364439
0.02,-0.51098891638498,,,,,,,,,,,,,,,-0.128141454201512
0.03,-0.507389757885091,,,,,,,,,,,,,,,-0.151719021143374
0.04,-0.442289227160796,,,,,,,,,,,,,,,-0.18260262457852
0.05,-0.300488107869196,,,,,,,,,,,,,,,-0.231790605571239
0.06,-0.137379797218967,,,,,,,,,,,,,,,-0.291955353209223
0.07,0.0377462472435301,,,,,,,,,,,,,,,-0.357330798499303
0.08,0.281560197024104,,,,,,,,,,,,,,,-0.415284108455715
0.09,0.574591989658392,,,,,,,,,,,,,,,-0.450639067815524
0.1,1.23474582672031,0.761336060201643,0.842188017368092,1.48716344292323,1.60817349359988,1.74166716741791,1.76121316102842,1.7248481677423,1.96589392241698,2.04322273186738,-0.222302338793802,-0.587825410204873,-1.10965221716884,0.871064736127265,0.0335748924276736,-0.458626697706359
0.11,1.19151744449026,,,,,,,,,,,,,,,-0.445964571088506
0.12,1.40954134453013,,,,,,,,,,,,,,,-0.493355377484486
0.13,1.67524369315531,,,,,,,,,,,,,,,-0.502960538440773
0.14,1.97517394850927,,,,,,,,,,,,,,,-0.474825233405759
0.15,2.28524664289081,,,,,,,,,,,,,,,-0.425531670291193
0.16,2.56422050119131,,,,,,,,,,,,,,,-0.381121454663902
0.17,2.78004055263601,,,,,,,,,,,,,,,-0.394821239871002
0.18,2.92920901555563,,,,,,,,,,,,,,,-0.442610808506547
0.19,3.00426908320122,,,,,,,,,,,,,,,-0.488909236976558
0.2,3.73200234031275,2.81010902966094,2.75688247939067,3.28356853468652,3.28332376433799,3.46704423798649,3.31643624546216,3.10169220021449,3.17560572339698,3.13797086785453,-0.41972478663671,-0.80758325771364,-1.40977289665462,0.992066959177779,-0.0363418414524518,-0.534319929748752
0.21,2.94013826123873,,,,,,,,,,,,,,,-0.585466492214719
0.22,2.8464930252352,,,,,,,,,,,,,,,-0.638153957469928
0.23,3.02480241217799,,,,,,,,,,,,,,,-0.548864828521557
0.24,3.14632682221042,,,,,,,,,,,,,,,-0.496076327890296
0.25,3.22542927374227,,,,,,,,,,,,,,,-0.465156754637014
0.26,3.28582943204816,,,,,,,,,,,,,,,-0.435711411496525
0.27,3.35199227001699,,,,,,,,,,,,,,,-0.403683460839752
0.28,3.37652965617071,,,,,,,,,,,,,,,-0.395071645123428
0.29,3.35417864891912,,,,,,,,,,,,,,,-0.419828026889956
0.3,4.04554818695841,3.10153686279472,3.04603158377106,3.40226052827772,3.28730883138144,3.45318959727181,3.12360304592781,2.79472457265895,2.7498872121935,2.74048679288658,-0.195519803064791,-0.54520508335274,-1.012306898619,0.608606697139941,0.102034250483285,-0.452224403660866
0.31,3.30947194643996,,,,,,,,,,,,,,,-0.478822830729312
0.32,3.2773916246633,,,,,,,,,,,,,,,-0.495082344589931
0.33,3.21757271742052,,,,,,,,,,,,,,,-0.477551360600819
