"Time [ms]","Current(PhaseA) [A] - a='15mm'","Current(PhaseA) [A] - a='20mm'","Current(PhaseA) [A] - a='25mm'","Current(PhaseA) [A] - a='30mm'","Current(PhaseA) [A] - a='35mm'","Current(PhaseA) [A] - a='40mm'","Current(PhaseA) [A] - a='45mm'","Current(PhaseA) [A] - a='50mm'","Current(PhaseA) [A] - a='55mm'","Current(PhaseA) [A] - a='60mm'","Current(PhaseA) [A] - a='65mm'","Current(PhaseA) [A] - a='70mm'","Current(PhaseA) [A] - a='75mm'","Current(PhaseB) [A] - a='15mm'","Current(PhaseB) [A] - a='20mm'","Current(PhaseB) [A] - a='25mm'","Current(PhaseB) [A] - a='30mm'","Current(PhaseB) [A] - a='35mm'","Current(PhaseB) [A] - a='40mm'","Current(PhaseB) [A] - a='45mm'","Current(PhaseB) [A] - a='50mm'","Current(PhaseB) [A] - a='55mm'","Current(PhaseB) [A] - a='60mm'","Current(PhaseB) [A] - a='65mm'","Current(PhaseB) [A] - a='70mm'","Current(PhaseB) [A] - a='75mm'","Current(PhaseC) [A] - a='15mm'","Current(PhaseC) [A] - a='20mm'","Current(PhaseC) [A] - a='25mm'","Current(PhaseC) [A] - a='30mm'","Current(PhaseC) [A] - a='35mm'","Current(PhaseC) [A] - a='40mm'","Current(PhaseC) [A] - a='45mm'","Current(PhaseC) [A] - a='50mm'","Current(PhaseC) [A] - a='55mm'","Current(PhaseC) [A] - a='60mm'","Current(PhaseC) [A] - a='65mm'","Current(PhaseC) [A] - a='70mm'","Current(PhaseC) [A] - a='75mm'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.201392374016782,0.201074406163564,0.199591292119657,0.198302499720504,0.196547090268438,0.192908115076862,0.189147740371976,0.188463320481219,0.184600618851743,0.1816592069528,0.175128775709386,0.168020955859219,0.167007664021732,-0.103385514165056,-0.10625249307631,-0.108124747213147,-0.110597215171068,-0.114432814649986,-0.115307499278923,-0.117116331065803,-0.121847273584495,-0.128518618090323,-0.137863745649622,-0.146764665078801,-0.164766906324315,-0.199120446762774,-0.098006859851726,-0.094821913087254,-0.091466544906509,-0.0877052845494369,-0.0821142756184519,-0.0776006157979396,-0.0720314093061734,-0.0666160468967241,-0.0560820007614199,-0.0437954613031785,-0.0283641106305853,-0.00325404953490341,0.0321127827410416
0.02,0.403484447178503,0.402626545665011,0.399835308268006,0.397348520786776,0.393949425013699,0.387360226195735,0.380231996868721,0.378500560384932,0.371402891369345,0.365005438381662,0.352765595022391,0.339197709803274,0.337129289259647,-0.204732841705499,-0.210392001951723,-0.214454129304764,-0.219562549092233,-0.227052700653674,-0.229582446994014,-0.233652564898139,-0.242453712915112,-0.256117797698603,-0.274801701957882,-0.292783479799559,-0.329279662336117,-0.398323665631329,-0.198751605473004,-0.192234543713288,-0.185381178963242,-0.177785971694543,-0.166896724360025,-0.15777777920172,-0.146579431970582,-0.136046847469821,-0.115285093670741,-0.0902037364237804,-0.0599821152228321,-0.00991804746715724,0.0611943763716813
0.03,0.606812426004154,0.605289387530952,0.601130748297855,0.597522472215926,0.592549883097016,0.582339102899598,0.572705823421054,0.570016065487129,0.559764055833013,0.549803700028938,0.532553846037251,0.512929311366177,0.508127115373753,-0.305078762001522,-0.31353370765273,-0.319697704856125,-0.327672050375328,-0.338762202041183,-0.341801810465333,-0.349944974016877,-0.362515160335896,-0.38319353751928,-0.41137615752839,-0.438557563300485,-0.493820821904454,-0.593233702197868,-0.301733664002632,-0.291755679878222,-0.281433043441729,-0.269850421840598,-0.253787681055833,-0.240537292434265,-0.222760849404177,-0.207500905151233,-0.176570518313734,-0.138427542500548,-0.0939962827367656,-0.0191084894617231,0.0851065868241149
0.04,0.810931122207077,0.808590531754217,0.803042438374534,0.798302718241784,0.791833686803739,0.780247895472602,0.765949765037066,0.762102416053504,0.748822483454358,0.734497368880886,0.713460720244776,0.687966198870919,0.681659182138845,-0.404929883117941,-0.41599055217106,-0.424235561111518,-0.435243396938914,-0.449962120713795,-0.458019971342579,-0.46617753748282,-0.482474639722628,-0.510047162375195,-0.546802168022552,-0.584326960865865,-0.658361142106104,-0.790935448653028,-0.406001239089136,-0.392599979583157,-0.378806877263016,-0.36305932130287,-0.341871566089944,-0.322227924130024,-0.299772227554246,-0.279627776330876,-0.238775321079163,-0.187695200858334,-0.129133759378912,-0.0296050567648142,0.109276266514183
0.05,1.0148590747696,1.01160263968961,1.00485490699308,0.998724677294829,0.990827729724184,0.97684972085539,0.961601951974325,0.95383944812724,0.937516387162879,0.919106201792693,0.894319006548623,0.862960660818306,0.855623783270897,-0.504281306079122,-0.517715801846264,-0.528389923620288,-0.542195052973182,-0.560557968106146,-0.5717688953588,-0.586711769167923,-0.602034815327897,-0.636629863138317,-0.682191259324384,-0.730091809332652,-0.822619843757996,-0.988687005525276,-0.510577768690477,-0.493886837843344,-0.476464983372792,-0.456529624321647,-0.430269761618037,-0.40508082549659,-0.374890182806402,-0.351804632799343,-0.300886524024563,-0.236914942468309,-0.164227197215972,-0.0403408170603095,0.133063222254379
0.06,1.21819822557683,1.21451209329731,1.20643585275665,1.19897229336221,1.18960797522635,1.17312934598382,1.15603722527585,1.14506269480206,1.12568060473057,1.10325603669551,1.07298684990382,1.03766667644387,1.0298790577788,-0.601817877682193,-0.618063894319593,-0.630984109951818,-0.64763913833008,-0.669675337816208,-0.683835790903197,-0.703946182707355,-0.719705720672061,-0.761241880736642,-0.815727525006473,-0.873336731967182,-0.985268254828705,-1.18494627837471,-0.616380347894635,-0.59644819897772,-0.575451742804832,-0.551333155032125,-0.519932637410141,-0.489293555080618,-0.452091042568492,-0.425356974130002,-0.36443872399393,-0.287528511689035,-0.19965011793664,-0.0523984216151689,0.155067220595912
0.07,1.42103515602774,1.41665668595602,1.40722604490309,1.3983191120139,1.38749014081642,1.36848752930667,1.34952327530772,1.33521407225719,1.31272464404945,1.28641242167006,1.25169356390248,1.21159795465927,1.20371024235788,-0.69788784051767,-0.71690829974844,-0.732057436499431,-0.751457729284342,-0.777138212156424,-0.794075867839546,-0.819300828700541,-0.835394455388824,-0.883938968169299,-0.947178056369223,-1.01524862958516,-1.14611581374515,-1.37930130377516,-0.723147315510066,-0.699748386207581,-0.675168608403656,-0.64686138272956,-0.610351928659997,-0.574411661467123,-0.530222446607177,-0.499819616868368,-0.42878567588015,-0.33923436530084,-0.236444934317323,-0.0654821409141284,0.175591061417286
0.08,1.62170796083408,1.61614464390235,1.60588548395174,1.59530579202896,1.5823834313709,1.56177840357543,1.54080718060855,1.52559848870614,1.49770066249096,1.46758006913257,1.42849000384844,1.38374575147862,1.37583514937212,-0.792749196369854,-0.814046589065543,-0.831831443239831,-0.853852143259242,-0.881368331867632,-0.902657822634234,-0.93278122548628,-0.95438613427996,-1.00560119359603,-1.07718828056179,-1.15654131695646,-1.30570698111425,-1.57226580483653,-0.828958764464227,-0.802098054836802,-0.774054040711907,-0.741453648769713,-0.701015099503268,-0.659120580941192,-0.60802595512227,-0.571212354426176,-0.492099468894927,-0.390391788570777,-0.271948686891974,-0.0780387703643746,0.196430655464401
0.09,1.82058386965543,1.81406027034248,1.80269033635797,1.79037783918078,1.77565776561698,1.75328580726874,1.73027084648078,1.71295861388632,1.68092135397088,1.64500532790268,1.60348343954537,1.55446353567284,1.54408804960694,-0.886139603381159,-0.909662783219837,-0.929924760147888,-0.954563716964534,-0.984412823720815,-1.00934947971038,-1.04430690749846,-1.06972961983929,-1.12586737260222,-1.20477959074942,-1.29635426710402,-1.46377869871724,-1.76329634246395,-0.93444426627427,-0.904397487122646,-0.872765576210085,-0.835814122216248,-0.791244941896165,-0.74393632755836,-0.685963938982321,-0.64322899404703,-0.555053981368666,-0.440225737153263,-0.307129172441351,-0.0906848369555946,0.219208292857008
