"Time [ms]","InducedVoltage(PhaseA) [V] - a='0mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='5mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='10mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='15mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='20mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='25mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='30mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='35mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='40mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='45mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='50mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='55mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='60mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='65mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='70mm' b='0.79'","InducedVoltage(PhaseA) [V] - a='60mm' b='0.7'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-0.0217547226566417,,,,,,,,,,,,,,,0.0404234888840005
0.02,0.922639252426416,,,,,,,,,,,,,,,1.16346984316285
0.03,1.86737534656478,,,,,,,,,,,,,,,2.31916180644109
0.04,3.06167902624499,,,,,,,,,,,,,,,3.69536459997599
0.05,4.61368580991772,,,,,,,,,,,,,,,5.40093110413808
0.06,5.5957859541822,,,,,,,,,,,,,,,7.07110273765465
0.07,6.80262253179298,,,,,,,,,,,,,,,8.64404595192769
0.08,9.3613535539161,,,,,,,,,,,,,,,11.0065546775229
0.09,11.2892340422444,,,,,,,,,,,,,,,13.0403877197149
0.1,5.87294094646751,5.7118921085425,5.77817469658903,5.83350804689964,5.89719871214145,5.91334192754756,5.92121582668914,5.96510706624531,5.98972654090812,6.04190823959239,6.11301633057448,6.13931676762047,6.21164806135555,6.38060681925845,6.11036819549216,14.6912351642159
0.11,14.3639065240342,,,,,,,,,,,,,,,15.9270236418929
0.12,13.356938593545,,,,,,,,,,,,,,,14.6282861145652
0.13,14.702380198911,,,,,,,,,,,,,,,15.9906989182446
0.14,16.6166093219344,,,,,,,,,,,,,,,17.6779077635747
0.15,18.4080471280601,,,,,,,,,,,,,,,19.7234024014392
0.16,20.5181747886307,,,,,,,,,,,,,,,21.9656330640028
0.17,21.8361296580261,,,,,,,,,,,,,,,23.6342299674008
0.18,23.2662296303254,,,,,,,,,,,,,,,25.0997873135872
0.19,24.921960615959,,,,,,,,,,,,,,,26.7643263770601
0.2,19.5426349450545,19.4578973178539,19.4655242648722,19.665274976996,19.6404953050827,19.6267061897576,19.5986880233279,18.6637625138841,19.708054629487,19.7700494634945,20.3410575832419,20.73346525512,20.9086283999677,20.7653996670148,20.0431005902901,27.9635498746711
0.21,27.4622058356322,,,,,,,,,,,,,,,28.9150609421362
0.22,28.5052323682422,,,,,,,,,,,,,,,29.7556069832117
0.23,28.1527138303261,,,,,,,,,,,,,,,30.0166800226431
0.24,29.6389493932181,,,,,,,,,,,,,,,31.0285344942152
0.25,31.1558738139317,,,,,,,,,,,,,,,32.5148958069121
0.26,32.7439461482504,,,,,,,,,,,,,,,33.5769667091756
0.27,34.435272872374,,,,,,,,,,,,,,,35.0869021490008
0.28,35.7454371343213,,,,,,,,,,,,,,,36.3073589027929
0.29,37.2840192372381,,,,,,,,,,,,,,,37.9262661060531
0.3,31.4023914195516,31.3409016181709,32.672011679078,32.9493829642519,33.0797555124956,33.2543639410499,33.4001030896669,34.5664971535592,33.5855021273518,33.6982846621131,34.2672161223823,34.2722833531989,34.0899754948887,33.6589294159712,32.8551830905277,40.0626857519348
0.31,41.1944919075202,,,,,,,,,,,,,,,42.046307519944
0.32,42.8660814272619,,,,,,,,,,,,,,,43.6730317451284
0.33,44.1840960336393,,,,,,,,,,,,,,,45.3436789645045
0.34,44.430654791161,,,,,,,,,,,,,,,43.8184541251274
0.35,45.9522587088257,,,,,,,,,,,,,,,45.6834020147678
0.36,47.7297101105167,,,,,,,,,,,,,,,47.4263244260809
0.37,49.7667376640309,,,,,,,,,,,,,,,49.3608304819482
0.38,51.8986087433615,,,,,,,,,,,,,,,51.3411072308734
0.39,53.4724559084154,,,,,,,,,,,,,,,52.1530360154454
0.4,49.183108339696,48.9803771872854,47.9233819512886,46.5880227260279,48.1956208828832,48.3707945434447,48.5664926007556,48.8545473367558,48.8894357877406,48.9068819982585,49.0493460840002,48.8111729996099,47.9502070563342,47.6602856848946,46.114488353991,53.3252361218206
0.41,57.1716817944157,,,,,,,,,,,,,,,55.0121508794688
0.42,58.7927038350089,,,,,,,,,,,,,,,56.313377516054
0.43,60.2750473505831,,,,,,,,,,,,,,,57.3859433113943
0.440000000000001,61.4929382601936,,,,,,,,,,,,,,,58.0266610140212
0.450000000000001,62.4599216350885,,,,,,,,,,,,,,,57.8135513564781
0.460000000000001,64.1627434259051,,,,,,,,,,,,,,,58.8474648290149
0.470000000000001,66.5855800094761,,,,,,,,,,,,,,,60.0868517568187
0.480000000000001,68.0089013812779,,,,,,,,,,,,,,,61.5550376421081
0.490000000000001,69.7958795878695,,,,,,,,,,,,,,,63.1867348846571
0.5,64.4516990577726,63.8359346677747,63.7142442356725,65.572350066595,63.7689308812855,63.6069151994734,63.3141853885366,62.0863502413949,61.8772931161876,61.7209540727165,62.2106663197719,61.7380020141922,61.0930911653845,59.7804134721419,58.2922500401983,63.816317911719
0.510000000000001,72.0827439224858,,,,,,,,,,,,,,,65.3595049630806
0.520000000000001,73.7776982387694,,,,,,,,,,,,,,,67.1966475482066
0.530000000000001,75.449432884489,,,,,,,,,,,,,,,68.8746043344124
0.540000000000001,76.9848425079489,,,,,,,,,,,,,,,70.2347107081447
0.550000000000001,78.2477302274875,,,,,,,,,,,,,,,71.1005697536682
0.560000000000001,78.9038251492846,,,,,,,,,,,,,,,70.5293242135307
0.570000000000001,80.0477609425421,,,,,,,,,,,,,,,71.5293461003519
0.580000000000001,81.3756180922998,,,,,,,,,,,,,,,72.860513592049
0.590000000000001,82.986433171478,,,,,,,,,,,,,,,74.5694611404946
0.6,78.0124023028261,78.3083133864437,78.064526866482,78.1560891958349,77.9059220666956,77.5991302161766,77.248169575953,77.9090841743213,77.1602554081169,76.3425179362537,74.816903629133,74.2243766553535,73.1218724210392,71.8658284318346,69.4445041383335,76.5453745720457
