Time [ms],Moving1.Torque [NewtonMeter] - a='15mm',Moving1.Torque [NewtonMeter] - a='20mm',Moving1.Torque [NewtonMeter] - a='25mm',Moving1.Torque [NewtonMeter] - a='30mm',Moving1.Torque [NewtonMeter] - a='35mm',Moving1.Torque [NewtonMeter] - a='40mm',Moving1.Torque [NewtonMeter] - a='45mm',Moving1.Torque [NewtonMeter] - a='50mm',Moving1.Torque [NewtonMeter] - a='55mm',Moving1.Torque [NewtonMeter] - a='60mm',Moving1.Torque [NewtonMeter] - a='65mm',Moving1.Torque [NewtonMeter] - a='70mm',Moving1.Torque [NewtonMeter] - a='75mm'
0,-0.245307888,-0.331770388,-0.046651801,0.029205985,0.054954294,0.004942648,0.056844704,-0.035229246,-0.061136721,-0.135657037,0.2221083,0.083225554,-0.239772707
0.01,-0.184954468,-0.284566268,0.017361819,0.181025247,0.302727443,0.266690704,0.392962043,0.120823216,0.108153693,0.016809689,0.697038054,0.56853733,0.394665352
0.02,-0.101382424,-0.204263608,0.123061737,0.363303966,0.550372972,0.545011944,0.740885607,0.285145647,0.28571854,0.184559001,1.144659538,1.035068785,1.027122453
0.03,0.023825658,-0.071237077,0.281026719,0.579326574,0.812804234,0.842973288,1.103655476,0.458625978,0.474579617,0.371730383,1.572309772,1.489879531,1.675139174
0.04,0.205559614,0.132053259,0.503285859,0.833965225,1.101564503,1.153639325,1.483484756,0.642051816,0.676630116,0.578914073,1.994920028,1.945107485,2.319492463
0.05,0.449666891,0.410347821,0.793363627,1.128984783,1.419600062,1.50953094,1.851707717,0.834552117,0.89188464,0.806321725,2.426627046,2.41122901,2.969363581
0.06,0.699505482,0.70231308,1.10139702,1.429735499,1.738488252,1.876618155,2.235277512,1.033767116,1.117622721,1.042609465,2.885304048,2.896644789,3.623619024
0.07,0.952909587,1.003062137,1.423824558,1.735159025,2.051397611,2.248950091,2.61620653,1.235300767,1.348095691,1.281966614,3.353693347,3.39497171,4.286198052
0.08,1.251692344,1.341595106,1.777191837,2.066314992,2.373767267,2.631073991,2.999391262,1.418463095,1.580708375,1.523949557,3.826756028,3.898592061,4.958088093
0.09,1.582987928,1.699522133,2.133034914,2.407257798,2.70877756,3.009628648,3.380485952,1.617157586,1.812267517,1.77876501,4.289691509,4.403096685,5.655272337
0.1,1.932103243,2.062642178,2.478987314,2.745682511,3.051654776,3.381542245,3.758632839,1.817217019,2.041117878,2.035531002,4.747248482,4.904543365,6.338002963
0.11,2.287388747,2.42288529,2.819013394,3.07527282,3.39999768,3.752290667,4.137686541,2.018049734,2.272017262,2.30682625,5.183350373,5.402513086,7.019126298
0.12,2.595195226,2.757017835,3.175488197,3.414515347,3.733505361,4.133475561,4.526311747,2.267167214,2.564429586,2.609850163,5.680465607,5.934216445,7.696057882
0.13,2.928123142,3.114265581,3.543372542,3.759282176,4.075411643,4.517302775,4.916325375,2.520781659,2.841559737,2.925840678,6.158677448,6.467908792,8.376269483
0.14,3.272196421,3.486262303,3.911840873,4.110232432,4.429750354,4.903916032,5.308664264,2.773180027,3.129097295,3.260893519,6.624924919,7.001162375,9.068288494
0.15,3.603831884,3.856442448,4.270388412,4.462091952,4.79375334,5.291043663,5.70327672,3.023261145,3.419331321,3.619304418,7.068812207,7.532407568,9.760444682
0.16,3.941387304,4.202029704,4.606702751,4.803201431,5.152701199,5.669298753,6.092326522,3.2808415,3.71758368,3.996924141,7.490450943,8.060695134,10.4450719
0.17,4.254054961,4.510257192,4.917766011,5.114376782,5.486356141,6.01599922,6.448894427,3.529685899,4.00401541,4.365064907,7.890334293,8.573189083,11.11056441
0.18,4.533240844,4.790341059,5.201509859,5.394540094,5.789292687,6.328467492,6.770067921,3.783686819,4.292770836,4.718177937,8.291594401,9.070574574,11.76553564
0.19,4.768637499,5.038394814,5.455521261,5.647768999,6.058594498,6.607951615,7.06640701,4.065632211,4.602707094,5.067725831,8.713933707,9.577555345,12.42731417
0.2,4.961506708,5.25169231,5.692969763,5.880311262,6.292543789,6.860976823,7.334538841,4.378158433,4.936436563,5.420752688,9.160130404,10.09763979,13.10189778
0.21,5.114981353,5.432557,5.924153989,6.112187839,6.497126572,7.108595619,7.590284755,4.719853804,5.295675475,5.803773092,9.623514687,10.63879868,13.78840082
0.22,5.262477123,5.603158055,6.169846059,6.358761443,6.701063805,7.359750619,7.864251701,5.080935986,5.680598073,6.23052311,10.08842898,11.21707542,14.48188501
0.23,5.622910287,5.954471609,6.466753292,6.67582536,7.074003144,7.706720829,8.225466141,5.384973166,6.036467089,6.669171742,10.49215533,11.76497964,15.18403884
0.24,5.940483497,6.260599587,6.739898911,6.970726832,7.406618384,8.035559864,8.562892613,5.690479038,6.395591613,7.146366139,10.89957539,12.32517424,15.88524799
0.25,6.226420309,6.534634499,6.993071947,7.2239989,7.708649582,8.341089168,8.879086718,6.015988121,6.770214549,7.642540851,11.32128225,12.90317302,16.5947076
0.26,6.494202918,6.793764562,7.237185362,7.474589359,7.987630483,8.623647376,9.172473257,6.377283776,7.171943482,8.141474335,11.76667273,13.49652781,17.317501
0.27,6.75774735,7.054571921,7.495793448,7.724464939,8.226908862,8.892566508,9.447418002,6.776701843,7.603829078,8.636474157,12.23116146,14.09814583,18.05295423
0.28,6.982286801,7.284495076,7.737643978,7.950629067,8.44403625,9.137568351,9.696361969,7.184291235,8.041957062,9.118294461,12.69039014,14.68136703,18.76645431
0.29,7.182465376,7.490322528,7.973145619,8.173285952,8.640887418,9.351506444,9.933034372,7.598672374,8.484492444,9.600948459,13.14359174,15.26072322,19.46267457
0.3,7.395148266,7.697687883,8.207414335,8.408433503,8.846449883,9.583128987,10.17846025,8.023126848,8.940745709,10.10545099,13.59718309,15.84811779,20.16193129
0.31,7.608456445,7.897199347,8.421247093,8.639424851,9.058825707,9.808831861,10.42547902,8.447246669,9.404932545,10.63009287,14.05655571,16.43381377,20.86659724
