"Time [ms]","InducedVoltage(PhaseA) [V] - a='15mm'","InducedVoltage(PhaseA) [V] - a='20mm'","InducedVoltage(PhaseA) [V] - a='25mm'","InducedVoltage(PhaseA) [V] - a='30mm'","InducedVoltage(PhaseA) [V] - a='35mm'","InducedVoltage(PhaseA) [V] - a='40mm'","InducedVoltage(PhaseA) [V] - a='45mm'","InducedVoltage(PhaseA) [V] - a='50mm'","InducedVoltage(PhaseA) [V] - a='55mm'","InducedVoltage(PhaseA) [V] - a='60mm'","InducedVoltage(PhaseA) [V] - a='65mm'","InducedVoltage(PhaseA) [V] - a='70mm'","InducedVoltage(PhaseA) [V] - a='75mm'","InducedVoltage(PhaseB) [V] - a='15mm'","InducedVoltage(PhaseB) [V] - a='20mm'","InducedVoltage(PhaseB) [V] - a='25mm'","InducedVoltage(PhaseB) [V] - a='30mm'","InducedVoltage(PhaseB) [V] - a='35mm'","InducedVoltage(PhaseB) [V] - a='40mm'","InducedVoltage(PhaseB) [V] - a='45mm'","InducedVoltage(PhaseB) [V] - a='50mm'","InducedVoltage(PhaseB) [V] - a='55mm'","InducedVoltage(PhaseB) [V] - a='60mm'","InducedVoltage(PhaseB) [V] - a='65mm'","InducedVoltage(PhaseB) [V] - a='70mm'","InducedVoltage(PhaseB) [V] - a='75mm'","InducedVoltage(PhaseC) [V] - a='15mm'","InducedVoltage(PhaseC) [V] - a='20mm'","InducedVoltage(PhaseC) [V] - a='25mm'","InducedVoltage(PhaseC) [V] - a='30mm'","InducedVoltage(PhaseC) [V] - a='35mm'","InducedVoltage(PhaseC) [V] - a='40mm'","InducedVoltage(PhaseC) [V] - a='45mm'","InducedVoltage(PhaseC) [V] - a='50mm'","InducedVoltage(PhaseC) [V] - a='55mm'","InducedVoltage(PhaseC) [V] - a='60mm'","InducedVoltage(PhaseC) [V] - a='65mm'","InducedVoltage(PhaseC) [V] - a='70mm'","InducedVoltage(PhaseC) [V] - a='75mm'"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,50.8630979596969,51.1041089981679,51.110458501874,51.0828680201636,51.2843200998703,51.2448226566597,51.0490130202545,50.8964990787397,51.2136297286303,51.6706326458338,51.8310978810332,52.6485620457595,53.3597352844528,-233.693403143975,-233.448873356296,-233.441986669236,-233.46794316145,-233.263619510404,-233.306932882596,-233.505436501086,-233.652364473047,-233.331356668606,-232.865513825356,-232.701776280556,-231.869273053406,-231.112075701989,172.658875850259,172.895051335822,172.894721619624,172.86015985819,173.051470670205,173.000719027963,172.79203049245,172.631096185755,172.928353032351,173.364334722076,173.494483100947,174.26747251077,174.928425280052
0.02,52.1491702987487,52.3430189897922,52.4022669804336,52.4082179127527,52.6261459842303,52.491878110511,52.3559311328248,52.4103599480352,52.7133504492405,53.2633829657903,53.4969926774709,54.3593939288822,55.1072765307581,-234.241162256124,-234.043562033981,-233.982998765475,-233.974764494435,-233.753536264614,-233.890288731264,-234.028255118043,-233.968633107587,-233.659747355708,-233.099980119994,-232.86111888835,-231.979359832121,-231.176642794234,171.514880784268,171.702501491963,171.753895460314,171.751627313574,171.958120926033,171.811368382524,171.660650219937,171.705032321162,171.985809934497,172.509571157001,172.709347166625,173.520263172594,174.208175561258
0.03,53.5200161746574,53.688617606501,53.7381294539618,53.7987947086815,54.0175100117113,53.6903455113036,53.7746375651404,53.9164338857367,54.2437908975346,54.7767518947029,55.0745002795394,55.9729144924415,56.1522585176832,-234.690988002717,-234.518235250106,-234.467389204518,-234.403655115875,-234.181111250517,-234.513594415592,-234.427908600029,-234.280450432991,-233.946110021224,-233.401858367943,-233.096879300448,-232.175140365068,-231.940767498201,170.451881972694,170.612928875927,170.65333320373,170.70440490411,170.910205225805,170.568379129554,170.635513497214,170.766370106074,171.068313986728,171.570392054557,171.83090706438,172.670655258578,172.782085072334
0.04,55.0515955900888,55.1848720127313,55.2283444933355,55.3411911422885,55.541079338367,55.8202681199549,55.3308659731688,55.4733687042785,55.8311903809894,56.1181911804098,56.6436899331668,57.5526954663286,57.9490860828702,-234.968535643296,-234.831043665554,-234.786111108876,-234.669538393842,-234.465165074824,-234.182754442872,-234.678951804967,-234.530412049239,-234.164625465533,-233.86722361749,-233.33017078343,-232.394374043901,-231.930438084801,169.543970046376,169.668493590802,169.701607440681,169.803314104658,169.988760115353,170.251312214653,169.742102856102,169.87174086241,170.201306404219,170.452299196944,170.937518769748,171.780585329509,172.099567679546
0.05,56.721562362877,56.8312545361216,56.9179193968983,57.0280560986069,57.1930212780292,57.2118339147221,57.71777784771,57.1633066770105,57.4972321006451,57.837640888686,58.2719482594141,59.1561435262122,59.4602200873873,-235.097507814982,-234.983605206862,-234.894563412849,-234.780904937448,-234.61080110197,-234.591827318856,-234.079375261548,-234.637457881473,-234.294436889731,-233.941857454778,-233.494248775859,-232.580384759709,-232.199671050998,168.767771721048,168.867690915822,168.942815789413,169.040088430317,169.18911020313,169.189094632283,169.67378671911,169.103804100865,169.405990312335,169.706479528112,170.096047369273,170.907013278374,171.125418913362
0.06,57.9474619068487,57.9984721260474,58.0681049701492,58.1798896423902,58.3665537229105,58.3848449588808,58.6625952153419,58.3527113385107,58.6986168330861,59.0628257496117,59.746408222705,60.4101008967406,60.7975625532831,-235.66153706972,-235.604673645129,-235.532784536002,-235.416971976662,-235.224624960062,-235.206411445338,-234.924150612209,-235.235960403546,-234.880090721043,-234.502260934888,-233.807018395907,-233.106592457247,-232.633349438571,167.543857986907,167.584773264581,167.641546044622,167.739145962706,167.908079300369,167.905523484652,168.159596124104,167.832466846135,168.143397715884,168.46344081205,169.093918716359,169.680760574875,169.975026716329
0.07,59.1599816338773,59.2380523118274,59.3122154285697,59.4306406595801,59.6139591359401,59.6488900363734,59.9326517692178,59.6291491621881,59.9775983620598,60.3827939677726,61.0387990346239,61.7657242618697,62.2111659575819,-236.227329010938,-236.143218562881,-236.066627364587,-235.944088364934,-235.754567263277,-235.719871074297,-235.430872647113,-235.737311372247,-235.377893422128,-234.957900322982,-234.28670579286,-233.520924371733,-232.981002420488,166.302188706632,166.36856530324,166.42858481038,166.531275534859,166.695245338122,166.707498681631,166.965347093559,166.642672725076,166.952629709657,167.309972373653,167.909473640812,168.551060137725,168.895718754894
0.08,61.0415722001101,61.1929342976936,61.2270431689044,61.3748828189709,61.307649259007,61.5670061291262,61.821801926365,62.1856526892672,61.8736566760314,62.2562807930382,62.9295051843892,63.5343819973377,63.8503227933407,-236.114788546998,-235.958228569663,-235.920183702257,-235.768391168592,-235.832237314254,-235.56960548996,-235.309240266615,-234.938573472887,-235.24778207227,-234.849584348606,-234.158413537894,-233.511816189658,-233.093053830946,165.72056761851,165.858514407566,165.8781255167,166.008350237862,165.920871982556,166.155949710753,166.38252551813,166.725015841296,166.370830051946,166.702213952927,167.313138084899,167.826726154455,168.033786607913
0.09,62.9226041131192,63.0496826027227,63.1209924060905,63.2851029449377,63.2485212957723,63.4432640747584,63.6844206934495,63.7282839824893,63.7294033457636,64.3306821528078,64.7058513234433,65.2260238700852,65.6476518764326,-235.991743585434,-235.858952576973,-235.783859861882,-235.615643455586,-235.647808103034,-235.450297268558,-235.202982146324,-235.155140342072,-235.147062932586,-234.53322138253,-234.134390228,-233.568596811382,-233.039684925546,165.134883122117,165.248065779774,165.303235547004,165.448064711537,165.389850433342,165.558928059717,165.769605848581,165.789279747014,165.745204528489,166.2871453913,166.599025214031,167.022038466658,167.320193449252
