"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,0,0,0
0.01,54.3403796716468,-233.932700160336,179.540462915512
0.02,55.79671958586,-234.354630532743,178.503884568298
0.03,57.2512799692948,-234.767138017489,177.461322819772
0.04,58.7038829121256,-235.17018962507,176.412794320019
0.05,60.1539863614997,-235.563614907547,175.358037140369
0.06,61.6004922286917,-235.947379126372,174.296627568896
0.07,63.0436916748134,-236.32164308727,173.228210050838
0.08,64.4840835864968,-236.686665107649,172.152487879676
0.09,65.9219850190129,-237.044783111637,171.06979148715
0.1,67.3564709291308,-237.392199200781,169.97862123295
0.11,68.7879949621384,-237.730134548958,168.881564733589
0.12,70.2167697213818,-238.058764219173,167.778826577905
0.13,71.6429967006382,-238.378196659836,166.670358234888
0.14,73.0668460127704,-238.688475151599,165.555971207351
0.15,74.4884257860734,-238.989536038545,164.435428833529
0.16,75.9075645713869,-239.281367181035,163.308484024366
0.17,77.323627890602,-239.56665567644,162.174314478439
0.18,78.7369382975689,-239.84037583499,161.03453075558
0.19,80.1468441713693,-240.104413909759,159.888745342374
0.2,81.5531770686773,-240.358930548695,158.737025520572
0.21,82.95590127812,-240.604147765194,157.579402974356
0.22,84.3550406592897,-240.840349041024,156.415829763756
0.23,85.7507066680585,-241.067814375315,155.246154114827
0.24,87.1430783731253,-241.286779461411,154.070147279362
0.25,88.5331005966716,-241.49733387014,152.888359008246
0.26,89.9193563308309,-241.696758637625,151.702154380312
0.27,91.3027949113798,-241.886258168507,150.510744082483
0.28,92.6837387024204,-242.065912191253,149.313772565371
0.29,94.0623435980337,-242.235744199647,148.110805497387
0.3,95.4383622979893,-242.395751258224,146.901384044942
0.31,96.8118390697936,-242.546091062719,145.68514647425
0.32,98.1829106810827,-242.686908234062,144.46185494702
0.33,99.522821326431,-242.824966055227,143.233400518683
0.34,100.881038108741,-242.950965758659,142.001068178452
0.35,102.236606318823,-243.06701353333,140.76369396849
0.36,103.58798768082,-243.173193184024,139.521301741055
0.37,104.934944751334,-243.269396457702,138.273844018491
0.38,106.277311882469,-243.355653405709,137.021213216598
0.39,107.61488784517,-243.432166206846,135.763267358752
0.4,108.947601141512,-243.499252206565,134.499855681264
0.41,110.277115583207,-243.55917127708,133.231279318197
0.42,111.600646246357,-243.608718834937,131.956564799324
0.43,112.919120708455,-243.648632087727,130.677431617657
0.440000000000001,114.232918311441,-243.67908092664,129.393994550472
0.450000000000001,115.542307753819,-243.700115912053,128.106145236351
0.460000000000001,116.847498607503,-243.71178948655,126.813669760514
0.470000000000001,118.148626207992,-243.71410033768,125.51633404852
0.480000000000001,119.44578792864,-243.707019852955,124.213909580106
0.490000000000001,120.739813733145,-243.691876015958,122.905741825208
0.500000000000001,122.028719800099,-243.666936209574,121.593082628058
0.510000000000001,123.312133362813,-243.632062661454,120.2760725735
0.520000000000001,124.589881263248,-243.587275824652,118.954867876409
0.530000000000001,125.861798713162,-243.532681470468,117.629628520727
0.540000000000001,127.127984851061,-243.468177661696,116.300432185473
0.550000000000001,128.388529935347,-243.393886670376,114.967231546975
0.560000000000001,129.643705692856,-243.309966956061,113.629780534974
0.570000000000001,130.895689501465,-243.217998053038,112.288663417548
0.580000000000001,132.142811167213,-243.117791284163,110.94259785735
0.590000000000001,133.386139083624,-243.009298910034,109.591663506087
0.600000000000001,134.625944802247,-242.892314154541,108.235701839515
0.610000000000001,135.862199980052,-242.766421490723,106.874589081279
0.620000000000001,137.094783811631,-242.631146188506,105.508287438427
0.630000000000001,138.323511587196,-242.486080633381,104.136772713087
0.640000000000001,139.548173770454,-242.330949475926,102.760085951442
0.650000000000001,140.718443222448,-242.144090122288,101.401973195214
0.660000000000001,141.920090252717,-241.967577698866,100.025175407237
0.670000000000001,143.121777189631,-241.784637868123,98.6424171173894
0.680000000000001,144.318340231453,-241.59272194215,97.2558553759939
0.690000000000001,145.509251889392,-241.391444197259,95.8655739528247
0.700000000000001,146.693910299156,-241.180421689944,94.4716633524245
0.710000000000001,147.871779003972,-240.959307221028,93.0743351686192
0.720000000000001,149.042479278899,-240.727848485452,91.6737332678552
0.730000000000001,150.208873236518,-240.485442950725,90.2699932006756
0.740000000000001,151.365799080383,-240.233143578415,88.8631376719628
0.750000000000001,152.515834115646,-239.971779267164,87.4535422776768
0.760000000000001,153.659769078796,-239.701641636275,86.0411254147875
0.770000000000001,154.797907590043,-239.422865783568,84.6257116755067
0.780000000000001,155.930529330278,-239.13541123002,83.2070881464142
0.790000000000001,157.057740990163,-238.839118111483,81.7850584640234
0.800000000000001,158.179589963736,-238.533817454141,80.3594591635814
