"Time [ms]","InducedVoltage(PhaseA) [V]"
0,0
0.01,85.3137861459213
0.02,86.5055608455678
0.03,87.3852799196356
0.04,88.2317655046011
0.05,89.1270845092273
0.06,90.4100060650892
0.07,91.6110771632561
0.08,92.8082195532337
0.09,94.0067041532183
0.1,95.2160161922816
0.11,96.5012009311983
0.12,97.7697154108031
0.13,98.9978068400926
0.14,100.202653180909
0.15,101.419199985137
0.16,102.7506731856
0.17,104.145393871444
0.18,105.44637302346
0.19,106.647985821945
0.2,107.804753467364
0.21,109.730065489111
0.22,111.722535223646
0.23,113.533504086857
0.24,114.771928063942
0.25,115.718359523848
0.26,116.587255151354
0.27,117.813762182459
0.28,119.067726888736
0.29,120.232314320146
0.3,121.364448906205
0.31,122.511873491982
0.32,123.633737059667
0.33,124.745806707319
0.34,125.868109619837
0.35,127.004247801571
0.36,128.179380050411
0.37,129.385636696866
0.38,130.566813610553
0.39,131.792536781411
0.4,132.725532475589
0.41,133.363460020303
0.42,134.6105530033
0.43,135.825307806481
0.440000000000001,136.980165012801
0.450000000000001,138.127652189599
0.460000000000001,139.318565317434
0.470000000000001,140.52824346418
0.480000000000001,141.760298537491
0.490000000000001,142.982837784353
0.500000000000001,144.129304821192
0.510000000000001,145.267759452306
0.520000000000001,146.474534483648
0.530000000000001,147.623348443432
0.540000000000001,148.628723459571
0.550000000000001,149.209033349265
0.560000000000001,149.811873699487
0.570000000000001,150.946691238835
0.580000000000001,152.209936853551
0.590000000000001,153.516333009213
0.600000000000001,154.27587738655
0.610000000000001,154.792872492218
0.620000000000001,155.842799904476
0.630000000000001,156.86278625632
0.640000000000001,157.769894677975
0.650000000000001,158.377078461147
0.660000000000001,158.840876942351
0.670000000000001,159.47215651293
0.680000000000001,160.185511248156
0.690000000000001,160.951920270119
0.700000000000001,161.618663236232
0.710000000000001,162.195113756014
0.720000000000001,162.80593412317
0.730000000000001,163.465659993828
0.740000000000001,164.208530758445
0.750000000000001,164.92480821812
0.760000000000001,165.57465687094
0.770000000000001,166.144187631198
0.780000000000001,166.687016933581
0.790000000000001,167.254151881047
0.800000000000001,167.473619170919
0.810000000000001,167.831216887898
0.820000000000002,168.358450360845
0.830000000000002,168.841753860505
0.840000000000002,169.315953336313
0.850000000000002,169.972876684427
0.860000000000002,170.580650645288
0.870000000000002,171.09751446362
0.880000000000002,171.559238612151
0.890000000000002,172.001840055937
0.900000000000002,172.627244946487
0.910000000000002,173.226488693984
0.920000000000002,173.642472278246
0.930000000000002,173.949566622533
0.940000000000002,174.257576468195
0.950000000000002,174.37677345031
0.960000000000002,174.723563891963
0.970000000000002,175.30155438349
0.980000000000002,175.980757442791
0.990000000000002,176.697413291801
1,176.987640455015
1.01,177.248992499142
1.02,177.49035086605
1.03,177.669011395012
1.04,177.843759419903
1.05,177.969770305243
1.06,178.178623118956
1.07,178.334445789352
1.08,178.432804714852
1.09,178.521887163879
1.1,178.546522029265
1.11,178.614394999457
1.12,178.759080622397
1.13,178.989672865486
1.14,179.208534784302
1.15,179.122822851163
1.16,178.711349154756
1.17,178.283066849472
1.18,178.086266149935
1.19,178.252995317588
1.2,179.331103619766
1.21,179.128168411521
1.22,178.833794895857
1.23,178.659383439014
1.24,178.719543588591
1.25,179.504801625274
1.26,179.581453328227
1.27,179.425785668411
1.28,179.160109843689
1.29,178.961282532154
1.3,179.078395408114
1.31,179.123096593505
1.32,179.164901066887
1.33,179.260584388839
1.34,179.377115233246
1.35,179.006044395284
1.36,178.930429655888
1.37,178.903141242046
1.38,179.02392220686
