"Time [ms]","InducedVoltage(M1PhA) [V]","InducedVoltage(M1PhB) [V]","InducedVoltage(M1PhC) [V]"
0,-10.4345003157291,-85.4202018814598,94.504276749289
0.05,-6.86663401613496,-87.0301057403358,93.1221780542335
0.1,-3.29876771654081,-88.6400095992118,91.740079359178
0.15,-0.137114276964612,-90.0935904721603,90.1527990909784
0.2,3.42282825299245,-91.6065774796904,88.6217775051743
0.25,6.73533877194377,-93.0668145800118,87.0190366684129
0.3,10.1877810603829,-94.4182826890497,85.29429959481
0.35,13.4790075620744,-95.6017553539336,83.440376503911
0.4,16.861450131862,-96.7123801017014,81.4432366217177
0.45,20.1149724695432,-97.6911412067707,79.2873249252982
0.5,23.4437473746957,-98.6294807980578,77.0222929827471
0.55,26.5510413011932,-99.4450329204997,74.7577461901444
0.6,29.7635450713751,-100.384554996865,72.3863362789767
0.65,32.86925093471,-101.303930679603,70.0535766866531
0.7,36.0259227339632,-102.028015040217,67.53510304772
0.75,38.9699964495921,-102.552094954705,65.0835199028682
0.8,42.0106740616,-103.020495846582,62.4490328081501
0.85,44.9334998124501,-103.373679391882,59.765655247877
0.9,47.858121115763,-103.621548583004,57.043355448359
0.95,50.6192796783839,-103.77171690749,54.3707836729984
1,53.4167151490894,-103.713786877805,51.5900349448672
1.05,56.1467709474189,-103.695236329311,48.7770588287034
1.1,58.8310987421831,-103.476134974344,45.9230219529827
1.15,61.5383261669183,-103.158154780683,42.9937084375931
1.2,64.1727962299449,-102.710095270432,40.0698792922055
1.25,66.7222919366339,-102.185339098162,37.0136028103929
1.3,69.1871587665657,-101.551174209692,33.9134922729117
1.35,71.5968559314994,-100.748493390764,30.8444867627222
1.4,73.9275627923974,-99.7492604225042,27.6916205991012
1.45,76.2140711838608,-98.8565858101538,24.5206848783514
1.5,78.5264577865377,-98.0274848737873,21.1776150432585
1.55,80.6962109083167,-97.0333343752637,18.0232282634241
1.6,82.7579860324232,-95.969036990229,14.6687343381641
1.65,84.6581852912284,-94.8072162151689,11.3443034901545
1.7,86.4604636524127,-93.5557672945284,7.8305291140518
1.75,88.0664687839955,-92.1062979219112,4.58418837860852
1.8,89.618248259655,-90.61890574624,1.14489047968125
1.85,91.1697035697434,-89.1019569908669,-2.25685212506765
1.9,92.6129310894699,-87.5798339797998,-5.6880530276332
1.95,94.0049460559705,-85.9207632462422,-9.03018441853476
2,95.2127849551249,-84.0557588961824,-12.4059214481276
2.05,96.2779018592604,-82.0594646365552,-15.7445111577287
2.1,97.3399562551802,-79.9249486208192,-19.0930286136021
2.15,98.3610014886929,-77.7592772055383,-22.3570612993956
2.2,99.2340720464768,-75.491360126585,-25.5402207166411
2.25,100.084076752423,-73.1800705641619,-28.7126624889777
2.3,101.044862960641,-70.8214665051859,-31.8993208449442
2.35,101.747206068454,-68.3682966652363,-34.9477449845254
2.4,102.325214324255,-65.831345245379,-37.9946205635828
2.45,102.852723885537,-63.2589637976849,-41.0484983460346
2.5,103.332076038762,-60.6412768069292,-44.0232924017475
2.55,103.660797551633,-57.9666726809469,-46.9085616619563
2.6,103.734709362939,-55.2647471276946,-49.6888570959397
2.65,103.682249905168,-52.5031902574458,-52.4808752385991
2.7,103.662352866621,-49.6539796983153,-55.2698376606492
2.75,103.540321983225,-46.8560965578291,-57.9782475292379
2.8,103.289838716118,-43.9898277116391,-60.6525416215553
2.85,102.924736283196,-41.0295529253535,-63.3325984587163
2.9,102.436998253764,-37.9931902393316,-65.9063399571574
2.95,101.798693856572,-34.9444716701919,-68.3971749135845
3,100.986117074687,-31.8674976432309,-70.7896923858423
3.05,99.9974698804289,-28.7351394898305,-73.1425150547593
3.1,99.156679308527,-25.5050221565201,-75.5293131818382
3.15,98.3877223627855,-22.3343444456059,-77.846250809212
3.2,97.4230515094535,-19.1173590913096,-80.0161547672545
3.25,96.3688383644444,-15.7734067691789,-82.0745515998183
3.3,95.2184089352992,-12.3926389458451,-84.0399403581388
3.35,93.9259519675753,-9.0840167919648,-85.853967642977
3.4,92.5593953329171,-5.69922804673773,-87.5778503099847
3.45,91.1405545076013,-2.26073955673312,-89.1668594758074
3.5,89.6719313236502,1.15350545524751,-90.7245126785611
3.55,88.1552185273732,4.5203261645882,-92.1947107094179
3.6,86.530578880176,7.85775181236514,-93.561873382822
3.65,84.6728424005858,11.2889332692251,-94.7494829908149
3.7,82.6789539655565,14.6563118788401,-95.9146674911215
3.75,80.6414988317594,17.9639459279773,-97.035128470256
3.8,78.5188671869652,21.2182119428267,-98.1167907029104
3.85,76.3110640670325,24.4765943884612,-99.0296786298903
3.9,73.9919490740104,27.6849941685903,-99.8103082949793
3.95,71.6341853518096,30.8076305661537,-100.694551105998
4,69.146486588203,33.8823597072152,-101.48411854369
4.05,66.6697779428249,36.9928057554381,-102.132446397676
4.1,64.1350327890428,40.0736440432098,-102.777388210866
4.15,61.5630940129419,43.044734101878,-103.276533279376
4.2,58.9348304891091,45.8841283227962,-103.584154068641
4.25,56.1607988170204,48.780115023575,-103.72017766885
4.3,53.396991289682,51.5470328782336,-103.677472964845
4.35,50.616530085012,54.321162448579,-103.619443204728
4.4,47.8250100137734,57.0388645214009,-103.639979211203
4.45,44.946073290219,59.8098795509,-103.498906137215
4.5,42.0285021953032,62.4662049829089,-103.127224260468
4.55,39.0592187585231,65.0303345528447,-102.61714156823
4.6,36.0150087901462,67.4919915041572,-102.01484327751
4.65,32.8856425233959,69.9648401930369,-101.224789632378
4.7,29.7510023434222,72.3635991636498,-100.338085106925
4.75,26.5772904065498,74.7555178666512,-99.4638708448807
4.8,23.5049501594631,77.0630059363106,-98.7649452343324
4.85,20.177644457231,79.2720548669601,-97.7941367330842
4.9,16.8795168143282,81.353829140752,-96.7419807142719
4.95,13.5087988982513,83.315236724964,-95.5645888446546
5,10.2824256777667,85.2613362127674,-94.3546699244008
5.05,6.77436763169947,87.0134274320339,-93.0396753059876
5.1,3.3688917595176,88.6663110317795,-91.6750848173742
5.15,0.0584391729929745,90.1697004201915,-90.2456542330282
5.2,-3.37273706007168,91.6959070457785,-88.7190874853816
5.25,-6.76506935704202,93.0240477115268,-87.0813526868858
5.3,-10.1484556574205,94.3021277099332,-85.2426216714588
5.35,-13.4506646503241,95.5247412998539,-83.3404845058952
5.4,-16.8871788878427,96.7455692562628,-81.3973489670303
5.44999999999999,-20.1546579281331,97.7607076522059,-79.299489074047
5.49999999999999,-23.3987045465173,98.7060868240916,-77.0963514081582
5.54999999999999,-26.597412927335,99.476641729609,-74.7812984546561
5.59999999999999,-29.7217382555576,100.296776427449,-72.4144260408527
5.64999999999999,-32.8754595737685,101.210705606811,-69.9801263158528
5.69999999999999,-35.9670116482941,101.963363533403,-67.5352383350339
5.74999999999999,-39.0862063019859,102.627413599224,-65.0301081645255
5.79999999999999,-41.9796152418861,103.100110151385,-62.504758946445
5.84999999999999,-44.9693990286587,103.479358467283,-59.8044485169219
5.89999999999999,-47.786393156512,103.616442329517,-57.0995642231314
5.94999999999999,-50.6356731962237,103.605170267455,-54.2864046137131
5.99999999999999,-53.3795003016807,103.673058936627,-51.566136290947
6.04999999999999,-56.1718538469091,103.672365962626,-48.7518976346846
6.09999999999999,-58.8793377926883,103.574255155472,-45.9416769891219
6.14999999999999,-61.58541288247,103.227812000202,-43.0418709786728
6.19999999999999,-64.1153058673544,102.763687570916,-40.0666402302829
6.24999999999999,-66.6765351165854,102.1260335808,-37.0046204624996
6.29999999999999,-69.1534788601733,101.459623829081,-33.9272084797521
6.34999999999999,-71.6261822540531,100.666120173981,-30.7940258335254
6.39999999999999,-73.9582447548354,99.7786654522426,-27.6748993598003
6.44999999999999,-76.2794931652858,98.9753865395106,-24.4945024079896
6.49999999999999,-78.5265928673728,98.1033684457259,-21.2750557605185
6.54999999999999,-80.6603359805197,97.0226090336922,-17.9908256108052
6.59999999999999,-82.6368440930986,95.8843961033502,-14.638298912838
6.64999999999999,-84.6683472458692,94.728810629596,-11.3149923203665
6.69999999999999,-86.513490005701,93.5073571015038,-7.92202705835354
6.74999999999999,-88.1126772825436,92.1928571136893,-4.48942262931684
6.79999999999999,-89.6944203779459,90.7002621738126,-1.20051900214968
6.84999999999999,-91.1234227532942,89.1563946065857,2.27399411830476
6.89999999999999,-92.5350101464131,87.504121039379,5.57049788478814
6.94999999999999,-93.9455484764123,85.858267656381,9.12979616589149
6.99999999999999,-95.2047989014002,84.020015494021,12.4015463274202
7.04999999999999,-96.3581046297217,82.0519002781081,15.7690454952958
7.09999999999998,-97.4207156982483,80.0132492892713,19.0467503800018
7.14999999999998,-98.4098275620447,77.8126595575954,22.3948029624771
7.19999999999998,-99.1489669594586,75.4966870960588,25.5244917681957
